Declared,Ex-Date,Record,Payale,Amount,Type
8/13/2020,8/21/2020,8/24/2020,9/9/2020,1.01          ,U.S. Currency          
5/14/2020,5/22/2020,5/26/2020,6/10/2020,1.01          ,U.S. Currency          
2/13/2020,2/24/2020,2/25/2020,3/10/2020,1.01          ,U.S. Currency          
11/7/2019,11/15/2019,11/18/2019,12/4/2019,0.96          ,U.S. Currency          
8/8/2019,8/16/2019,8/19/2019,9/4/2019,0.96          ,U.S. Currency          
5/9/2019,5/17/2019,5/20/2019,6/5/2019,0.96          ,U.S. Currency          
2/15/2019,2/25/2019,2/26/2019,3/12/2019,0.96          ,U.S. Currency          
11/8/2018,11/16/2018,11/19/2018,12/5/2018,0.91          ,U.S. Currency          
8/9/2018,8/17/2018,8/20/2018,9/5/2018,0.91          ,U.S. Currency          
5/10/2018,5/18/2018,5/21/2018,6/6/2018,0.91          ,U.S. Currency          
2/8/2018,2/16/2018,2/20/2018,3/7/2018,0.91          ,U.S. Currency          
11/2/2017,11/10/2017,11/13/2017,11/29/2017,0.83          ,U.S. Currency          
8/3/2017,8/10/2017,8/14/2017,8/30/2017,0.83          ,U.S. Currency          
5/4/2017,5/11/2017,5/15/2017,5/31/2017,0.83          ,U.S. Currency          
2/8/2017,2/16/2017,2/21/2017,3/8/2017,0.83          ,U.S. Currency          
11/3/2016,11/9/2016,11/14/2016,11/30/2016,0.78          ,U.S. Currency          
8/5/2016,8/12/2016,8/16/2016,8/31/2016,0.78          ,U.S. Currency          
5/5/2016,5/12/2016,5/16/2016,6/1/2016,0.78          ,U.S. Currency          
2/10/2016,2/18/2016,2/22/2016,3/9/2016,0.78          ,U.S. Currency          
11/5/2015,11/12/2015,11/16/2015,12/2/2015,0.73          ,U.S. Currency          
8/6/2015,8/13/2015,8/17/2015,9/1/2015,0.73          ,U.S. Currency          
5/7/2015,5/14/2015,5/18/2015,6/3/2015,0.73          ,U.S. Currency          
2/11/2015,2/19/2015,2/23/2015,3/10/2015,0.73          ,U.S. Currency          
11/6/2014,11/13/2014,11/17/2014,12/3/2014,0.67          ,U.S. Currency          
8/7/2014,8/14/2014,8/18/2014,9/3/2014,0.67          ,U.S. Currency          
5/8/2014,5/15/2014,5/19/2014,6/4/2014,0.67          ,U.S. Currency          
2/13/2014,2/20/2014,2/24/2014,3/11/2014,0.67          ,U.S. Currency          
11/7/2013,11/14/2013,11/18/2013,12/4/2013,0.62          ,U.S. Currency          
8/8/2013,8/15/2013,8/19/2013,9/4/2013,0.62          ,U.S. Currency          
5/2/2013,5/9/2013,5/13/2013,5/29/2013,0.62          ,U.S. Currency          
2/14/2013,2/21/2013,2/25/2013,3/12/2013,0.62          ,U.S. Currency          
11/8/2012,11/15/2012,11/19/2012,12/5/2012,0.57          ,U.S. Currency          
8/9/2012,8/16/2012,8/20/2012,9/5/2012,0.57          ,U.S. Currency          
5/3/2012,5/10/2012,5/14/2012,5/30/2012,0.57          ,U.S. Currency          
2/9/2012,2/16/2012,2/21/2012,3/7/2012,0.57          ,U.S. Currency          
11/3/2011,11/9/2011,11/14/2011,11/30/2011,0.52          ,U.S. Currency          
8/11/2011,8/18/2011,8/22/2011,9/7/2011,0.52          ,U.S. Currency          
5/5/2011,5/12/2011,5/16/2011,6/1/2011,0.52          ,U.S. Currency          
2/3/2011,2/10/2011,2/14/2011,3/2/2011,0.52          ,U.S. Currency          
11/4/2010,11/10/2010,11/15/2010,12/1/2010,0.47          ,U.S. Currency          
8/5/2010,8/12/2010,8/16/2010,9/1/2010,0.47          ,U.S. Currency          
5/6/2010,5/13/2010,5/17/2010,6/2/2010,0.47          ,U.S. Currency          
2/4/2010,2/11/2010,2/16/2010,3/3/2010,0.47          ,U.S. Currency          
11/5/2009,11/12/2009,11/16/2009,12/3/2009,0.45          ,U.S. Currency          
8/13/2009,8/20/2009,8/24/2009,9/9/2009,0.45          ,U.S. Currency          
5/7/2009,5/14/2009,5/18/2009,6/3/2009,0.45          ,U.S. Currency          
2/11/2009,2/19/2009,2/23/2009,3/10/2009,0.45          ,U.S. Currency          
11/6/2008,11/13/2008,11/17/2008,12/3/2008,0.45          ,U.S. Currency          
8/14/2008,8/21/2008,8/25/2008,9/9/2008,0.45          ,U.S. Currency          
5/8/2008,5/15/2008,5/19/2008,6/3/2008,0.45          ,U.S. Currency          
1/31/2008,2/7/2008,2/11/2008,3/4/2008,0.45          ,U.S. Currency          
11/8/2007,11/15/2007,11/19/2007,1/3/2008,0.42          ,U.S. Currency          
8/29/2007,9/6/2007,9/10/2007,9/17/2007,0.42          ,U.S. Currency          
5/10/2007,5/17/2007,5/21/2007,6/5/2007,0.42          ,U.S. Currency          
2/8/2007,2/15/2007,2/20/2007,3/6/2007,0.42          ,U.S. Currency          
11/16/2006,11/22/2006,11/27/2006,1/4/2007,0.38          ,U.S. Currency          
8/10/2006,8/17/2006,8/21/2006,9/6/2006,0.38          ,U.S. Currency          
5/4/2006,5/11/2006,5/15/2006,5/31/2006,0.38          ,U.S. Currency          
2/9/2006,2/16/2006,2/21/2006,3/7/2006,0.38          ,U.S. Currency          
11/16/2005,11/23/2005,11/28/2005,1/4/2006,0.33          ,U.S. Currency          
8/11/2005,8/18/2005,8/22/2005,9/7/2005,0.33          ,U.S. Currency          
5/5/2005,5/12/2005,5/16/2005,6/1/2005,0.33          ,U.S. Currency          
2/9/2005,2/17/2005,2/22/2005,3/9/2005,0.33          ,U.S. Currency          
11/18/2004,11/24/2004,11/29/2004,1/4/2005,0.28          ,U.S. Currency          
8/12/2004,8/19/2004,8/23/2004,9/8/2004,0.28          ,U.S. Currency          
5/6/2004,5/13/2004,5/17/2004,6/2/2004,0.28          ,U.S. Currency          
2/12/2004,2/19/2004,2/23/2004,3/9/2004,0.28          ,U.S. Currency          
11/13/2003,11/20/2003,11/24/2003,1/5/2004,0.25          ,U.S. Currency          
8/14/2003,8/21/2003,8/25/2003,9/9/2003,0.25          ,U.S. Currency          
5/7/2003,5/15/2003,5/19/2003,6/3/2003,0.21          ,U.S. Currency          
2/13/2003,2/20/2003,2/24/2003,3/11/2003,0.21          ,U.S. Currency          
11/13/2002,11/21/2002,11/25/2002,1/6/2003,0.19          ,U.S. Currency          
8/14/2002,8/22/2002,8/26/2002,9/10/2002,0.19          ,U.S. Currency          
5/15/2002,5/23/2002,5/28/2002,6/7/2002,0.19          ,U.S. Currency          
2/14/2002,2/25/2002,2/27/2002,3/8/2002,0.19          ,U.S. Currency          
11/15/2001,11/23/2001,11/27/2001,1/4/2002,0.19          ,U.S. Currency          
8/15/2001,8/24/2001,8/28/2001,9/7/2001,0.19          ,U.S. Currency          
5/16/2001,5/25/2001,5/30/2001,6/8/2001,0.19          ,U.S. Currency          
2/20/2001,2/22/2001,2/26/2001,3/9/2001,0.19          ,U.S. Currency          
11/16/2000,11/22/2000,11/27/2000,1/5/2001,0.17          ,U.S. Currency          
8/18/2000,8/24/2000,8/28/2000,9/8/2000,0.17          ,U.S. Currency          
5/18/2000,5/25/2000,5/30/2000,6/9/2000,0.17          ,U.S. Currency          
2/18/2000,2/24/2000,2/28/2000,3/27/2000,0.17          ,U.S. Currency          
11/18/1999,11/24/1999,11/29/1999,1/7/2000,0.30          ,U.S. Currency          
